"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"9823","Dez","Bryant","BAL","WR",33,10,"WR","average",1.62,146,0.1045,NA,1.62,1.62,3,"Dez Bryant","17","2020","3891","Bryant, Dez","WR","bal","a","cin","0","3100"
"9902","Rob","Gronkowski","TBB","TE",32,10,"TE","average",84.2376,18,7.54594999999999,69.9376115462917,7.5264,144.46,1,"Rob Gronkowski","17","2020","4494","Gronkowski, Rob","TE","tam","h","atl","4.9","4500"
"9918","Emmanuel","Sanders","NOS","WR",34,10,"WR","average",94.842,52,2.43225,99.8088908664955,9.3723,199.5595,2,"Emmanuel Sanders","17","2020","3983","Sanders, Emmanuel","WR","nor","a","car","21.3","5500"
"9925","Jimmy","Graham","CHI","TE",35,10,"TE","average",56.1575333333333,31,0.734366666666673,56.4069863066624,4.3724,127.478,2,"Jimmy Graham","17","2020","4492","Graham, Jimmy","TE","chi","h","gnb","2.5","3600"
"9988","Antonio","Brown","TBB","WR",33,10,"WR","average",94.0695,53,3.99866666666668,96.0845073325213,10.5668,185.9,2,"Antonio Brown","17","2020","3474","Brown, Antonio","WR","tam","h","atl","39.8","5500"
"10261","A.J.","Green","CIN","WR",33,9,"WR","average",77.3674166666667,68,0.775124999999989,79.856837746787,8.24705,151.6695,2,"A.J. Green","17","2020","5091","Green, A.J.","WR","cin","h","bal","0","3900"
"10273","Cam","Newton","NEP","QB",32,9,"QB","average",143.139966666667,25,21.0089916666667,114.514267185325,11.45152,256.0184,1,"Cam Newton","17","2020","1378","Newton, Cam","QB","nwe","h","nyj","38.48","5500"
"10276","Mark","Ingram","FA","RB",32,9,"RB","average",42.4415,63,2.39291666666666,44.3182687199459,4.6684,86.8645,2,"Mark Ingram","17","2020","2793","Ingram, Mark","RB","bal","a","cin","3.9","4000"
"10313","Andy","Dalton","DAL","QB",34,9,"QB","average",41.8159333333333,32,5.65466666666667,39.7024819287997,8.13744,87.5354,2,"Andy Dalton","17","2020","1403","Dalton, Andy","QB","dal","a","nyg","13.52","5600"
"10354","Luke","Stocker","ATL","TE",33,9,"TE","average",0.8,101,0.1495,NA,0.8,0.8,4,"Luke Stocker","17","2020","4532","Stocker, Luke","TE","atl","a","tam","2.3","2500"
"10378","Anthony","Sherman","KCC","RB",33,9,"RB","average",0.92,137,0.0622499999999999,NA,0.92,0.92,3,"Anthony Sherman","17","2020","2822","Sherman, Anthony","RB","kan","h","lac","0.6","4000"
"10389","Dion","Lewis","NYG","RB",31,9,"RB","average",4.52,114,0.0160833333333334,NA,4.52,4.52,3,"Dion Lewis","17","2020","2816","Lewis, Dion","RB","nyg","h","dal","0.7","4000"
"10398","Lee","Smith","BUF","TE",34,9,"TE","average",1.56133333333333,97,0.378166666666667,1.76649521180595,0.1946,3.287,4,"Lee Smith","17","2020","4535","Smith, Lee","TE","buf","h","mia","0","2800"
"10514","Nick","Bellore","SEA","RB",32,9,"RB","average",0.3485,145,0.14975,0.440527524679219,0.06815,0.62885,3,"Nick Bellore","17","2020","5663","Bellore, Nick","RB","sea","a","sfo","0","4000"
"10697","Ryan","Tannehill","TEN","QB",33,8,"QB","average",183.837133333333,13,2.0430916666667,163.917363653665,18.88224,340.2,1,"Ryan Tannehill","17","2020","1410","Tannehill, Ryan","QB","ten","a","hou","28.44","7000"
"10700","Kirk","Cousins","MIN","QB",33,8,"QB","average",160.7349,17,0.772733333333321,152.563599183449,18.50304,302.2132,1,"Kirk Cousins","17","2020","1415","Cousins, Kirk","QB","min","a","det","37.3","6300"
